duration_of_stay_in_the_village,Encounter_ostriches_in_the_village,How_often,Ostrict_is_highly_valued_bird_in_this_community,Ostrict_products_used_or_sold_in_your_village,Egg,Egg_shells,Feathers,Meat,How_Eggs_are_used_among_my_community,How_Egg_shells_are_used_among_my_community,How_Feathers_are_used_among_my_community,How_meat_are_used_among_my_community,How_products_for_use_are_obtained,Methods_used_to_kill_ostriches_in_your_area,Is_trend_of_ostrich_products_increasing_or_declining,Reasons_for_trends_given_above,strategies_that_are_in_place_to_minimize_use_of_ostrich_products,Predictors_that_feed_on_ostrich_or_their_eggs,If_you_encounter_these_predators_in_your_village,how_often_you_encounter_predators,Other_information_regarding_ostrich_in_your_area,Your_gender,Age,Village,Education_level,Area_of_research,Type_of_respondent
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Eagle,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,None,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,Primary level,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Eagle,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,None,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,Primary level,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Eagle,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,None,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
>1 year,yes,Once in 2-3 days,I strongly agree, ,ticked,ticked,ticked,ticked,used as food i.e. cooked,used for decoration,during circumcision,Some communities feed on meat,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,Snake,yes,Once in a week,Ostrich should be protected from predators within the locality,male,18-20, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
1-5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,lion,yes,Once in a week,Ostrich should be protected from predators within the locality,male,21-40, ,At least Secondary,Samburu National reserve,warden
<5 years,yes,Once in 2-3 days,I strongly agree, ,not ticked,not ticked,ticked,not ticked,Not aware,used for decoration,during circumcision,Not aware,collection,shooting,declining,Change in cultural practices e.g boys cicurmcised in hospital,change in cultural practices,hyena,yes,Once in a week,Ostrich should be protected from predators within the locality,male,41-60, ,At least Secondary,Samburu National reserve,warden
